condition_id,kind,model,seed,manifest_status,instruction_framing,payoff_scale,vignette_frame,persona_stance,persona_format,prompt_wording,choice_labels,history_format,cooperation_rate,first_round_cooperation,early_cooperation,late_cooperation,endgame_decline,mutual_cooperation_rate,explicit_cooperation_rate,explicit_first_round_cooperation,explicit_early_cooperation,explicit_late_cooperation,explicit_endgame_decline,explicit_mutual_cooperation_rate,reciprocity_score,explicit_reciprocity_score,divergent_actions,tar_action_member,tar_prompt_member
instruction_framing-canonical__payoff_scale-lambda-1__vignette_frame-abstract__model-qwen3.5-9b__persona_stance-reciprocal,grid,qwen3.5-9b,8002,success,canonical,lambda-1,abstract,reciprocal,plain,default,cooperate-defect,lines,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0,iterated_pd/sweeps/runs/instruction_framing-canonical__payoff_scale-lambda-1__vignette_frame-abstract__model-qwen3.5-9b__persona_stance-reciprocal/seed_8002/run/action_events.jsonl.gz,iterated_pd/sweeps/runs/instruction_framing-canonical__payoff_scale-lambda-1__vignette_frame-abstract__model-qwen3.5-9b__persona_stance-reciprocal/seed_8002/run/prompts_and_responses.jsonl.gz
instruction_framing-canonical__payoff_scale-lambda-1__vignette_frame-abstract__model-qwen3.5-9b__persona_stance-reciprocal,grid,qwen3.5-9b,8003,success,canonical,lambda-1,abstract,reciprocal,plain,default,cooperate-defect,lines,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0,iterated_pd/sweeps/runs/instruction_framing-canonical__payoff_scale-lambda-1__vignette_frame-abstract__model-qwen3.5-9b__persona_stance-reciprocal/seed_8003/run/action_events.jsonl.gz,iterated_pd/sweeps/runs/instruction_framing-canonical__payoff_scale-lambda-1__vignette_frame-abstract__model-qwen3.5-9b__persona_stance-reciprocal/seed_8003/run/prompts_and_responses.jsonl.gz
instruction_framing-canonical__payoff_scale-lambda-1__vignette_frame-abstract__model-qwen3.5-9b__persona_stance-reciprocal,grid,qwen3.5-9b,8004,success,canonical,lambda-1,abstract,reciprocal,plain,default,cooperate-defect,lines,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0,iterated_pd/sweeps/runs/instruction_framing-canonical__payoff_scale-lambda-1__vignette_frame-abstract__model-qwen3.5-9b__persona_stance-reciprocal/seed_8004/run/action_events.jsonl.gz,iterated_pd/sweeps/runs/instruction_framing-canonical__payoff_scale-lambda-1__vignette_frame-abstract__model-qwen3.5-9b__persona_stance-reciprocal/seed_8004/run/prompts_and_responses.jsonl.gz
instruction_framing-canonical__payoff_scale-lambda-1__vignette_frame-abstract__model-qwen3.5-9b__persona_stance-reciprocal,grid,qwen3.5-9b,8005,success,canonical,lambda-1,abstract,reciprocal,plain,default,cooperate-defect,lines,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0,iterated_pd/sweeps/runs/instruction_framing-canonical__payoff_scale-lambda-1__vignette_frame-abstract__model-qwen3.5-9b__persona_stance-reciprocal/seed_8005/run/action_events.jsonl.gz,iterated_pd/sweeps/runs/instruction_framing-canonical__payoff_scale-lambda-1__vignette_frame-abstract__model-qwen3.5-9b__persona_stance-reciprocal/seed_8005/run/prompts_and_responses.jsonl.gz
instruction_framing-canonical__payoff_scale-lambda-1__vignette_frame-abstract__model-qwen3.5-4b__persona_stance-neutral,grid,qwen3.5-4b,8001,success,canonical,lambda-1,abstract,neutral,plain,default,cooperate-defect,lines,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0,iterated_pd/sweeps/runs/instruction_framing-canonical__payoff_scale-lambda-1__vignette_frame-abstract__model-qwen3.5-4b__persona_stance-neutral/seed_8001/run/action_events.jsonl.gz,iterated_pd/sweeps/runs/instruction_framing-canonical__payoff_scale-lambda-1__vignette_frame-abstract__model-qwen3.5-4b__persona_stance-neutral/seed_8001/run/prompts_and_responses.jsonl.gz
instruction_framing-canonical__payoff_scale-lambda-1__vignette_frame-abstract__model-qwen3.5-4b__persona_stance-neutral,grid,qwen3.5-4b,8002,success,canonical,lambda-1,abstract,neutral,plain,default,cooperate-defect,lines,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0,iterated_pd/sweeps/runs/instruction_framing-canonical__payoff_scale-lambda-1__vignette_frame-abstract__model-qwen3.5-4b__persona_stance-neutral/seed_8002/run/action_events.jsonl.gz,iterated_pd/sweeps/runs/instruction_framing-canonical__payoff_scale-lambda-1__vignette_frame-abstract__model-qwen3.5-4b__persona_stance-neutral/seed_8002/run/prompts_and_responses.jsonl.gz
instruction_framing-canonical__payoff_scale-lambda-1__vignette_frame-abstract__model-qwen3.5-4b__persona_stance-neutral,grid,qwen3.5-4b,8003,success,canonical,lambda-1,abstract,neutral,plain,default,cooperate-defect,lines,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0,iterated_pd/sweeps/runs/instruction_framing-canonical__payoff_scale-lambda-1__vignette_frame-abstract__model-qwen3.5-4b__persona_stance-neutral/seed_8003/run/action_events.jsonl.gz,iterated_pd/sweeps/runs/instruction_framing-canonical__payoff_scale-lambda-1__vignette_frame-abstract__model-qwen3.5-4b__persona_stance-neutral/seed_8003/run/prompts_and_responses.jsonl.gz
instruction_framing-canonical__payoff_scale-lambda-1__vignette_frame-abstract__model-qwen3.5-4b__persona_stance-neutral,grid,qwen3.5-4b,8004,success,canonical,lambda-1,abstract,neutral,plain,default,cooperate-defect,lines,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0,iterated_pd/sweeps/runs/instruction_framing-canonical__payoff_scale-lambda-1__vignette_frame-abstract__model-qwen3.5-4b__persona_stance-neutral/seed_8004/run/action_events.jsonl.gz,iterated_pd/sweeps/runs/instruction_framing-canonical__payoff_scale-lambda-1__vignette_frame-abstract__model-qwen3.5-4b__persona_stance-neutral/seed_8004/run/prompts_and_responses.jsonl.gz
instruction_framing-canonical__payoff_scale-lambda-1__vignette_frame-abstract__model-qwen3.5-4b__persona_stance-neutral,grid,qwen3.5-4b,8005,success,canonical,lambda-1,abstract,neutral,plain,default,cooperate-defect,lines,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0,iterated_pd/sweeps/runs/instruction_framing-canonical__payoff_scale-lambda-1__vignette_frame-abstract__model-qwen3.5-4b__persona_stance-neutral/seed_8005/run/action_events.jsonl.gz,iterated_pd/sweeps/runs/instruction_framing-canonical__payoff_scale-lambda-1__vignette_frame-abstract__model-qwen3.5-4b__persona_stance-neutral/seed_8005/run/prompts_and_responses.jsonl.gz
instruction_framing-canonical__payoff_scale-lambda-1__vignette_frame-abstract__model-qwen3.5-4b__persona_stance-cooperative,grid,qwen3.5-4b,8001,success,canonical,lambda-1,abstract,cooperative,plain,default,cooperate-defect,lines,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0,iterated_pd/sweeps/runs/instruction_framing-canonical__payoff_scale-lambda-1__vignette_frame-abstract__model-qwen3.5-4b__persona_stance-cooperative/seed_8001/run/action_events.jsonl.gz,iterated_pd/sweeps/runs/instruction_framing-canonical__payoff_scale-lambda-1__vignette_frame-abstract__model-qwen3.5-4b__persona_stance-cooperative/seed_8001/run/prompts_and_responses.jsonl.gz
instruction_framing-canonical__payoff_scale-lambda-1__vignette_frame-abstract__model-qwen3.5-4b__persona_stance-cooperative,grid,qwen3.5-4b,8002,success,canonical,lambda-1,abstract,cooperative,plain,default,cooperate-defect,lines,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0,iterated_pd/sweeps/runs/instruction_framing-canonical__payoff_scale-lambda-1__vignette_frame-abstract__model-qwen3.5-4b__persona_stance-cooperative/seed_8002/run/action_events.jsonl.gz,iterated_pd/sweeps/runs/instruction_framing-canonical__payoff_scale-lambda-1__vignette_frame-abstract__model-qwen3.5-4b__persona_stance-cooperative/seed_8002/run/prompts_and_responses.jsonl.gz
instruction_framing-canonical__payoff_scale-lambda-1__vignette_frame-abstract__model-qwen3.5-4b__persona_stance-cooperative,grid,qwen3.5-4b,8003,success,canonical,lambda-1,abstract,cooperative,plain,default,cooperate-defect,lines,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0,iterated_pd/sweeps/runs/instruction_framing-canonical__payoff_scale-lambda-1__vignette_frame-abstract__model-qwen3.5-4b__persona_stance-cooperative/seed_8003/run/action_events.jsonl.gz,iterated_pd/sweeps/runs/instruction_framing-canonical__payoff_scale-lambda-1__vignette_frame-abstract__model-qwen3.5-4b__persona_stance-cooperative/seed_8003/run/prompts_and_responses.jsonl.gz
instruction_framing-canonical__payoff_scale-lambda-1__vignette_frame-abstract__model-qwen3.5-4b__persona_stance-cooperative,grid,qwen3.5-4b,8004,success,canonical,lambda-1,abstract,cooperative,plain,default,cooperate-defect,lines,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0,iterated_pd/sweeps/runs/instruction_framing-canonical__payoff_scale-lambda-1__vignette_frame-abstract__model-qwen3.5-4b__persona_stance-cooperative/seed_8004/run/action_events.jsonl.gz,iterated_pd/sweeps/runs/instruction_framing-canonical__payoff_scale-lambda-1__vignette_frame-abstract__model-qwen3.5-4b__persona_stance-cooperative/seed_8004/run/prompts_and_responses.jsonl.gz
instruction_framing-canonical__payoff_scale-lambda-1__vignette_frame-abstract__model-qwen3.5-4b__persona_stance-cooperative,grid,qwen3.5-4b,8005,success,canonical,lambda-1,abstract,cooperative,plain,default,cooperate-defect,lines,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0,iterated_pd/sweeps/runs/instruction_framing-canonical__payoff_scale-lambda-1__vignette_frame-abstract__model-qwen3.5-4b__persona_stance-cooperative/seed_8005/run/action_events.jsonl.gz,iterated_pd/sweeps/runs/instruction_framing-canonical__payoff_scale-lambda-1__vignette_frame-abstract__model-qwen3.5-4b__persona_stance-cooperative/seed_8005/run/prompts_and_responses.jsonl.gz
instruction_framing-canonical__payoff_scale-lambda-1__vignette_frame-abstract__model-qwen3.5-4b__persona_stance-competitive,grid,qwen3.5-4b,8001,success,canonical,lambda-1,abstract,competitive,plain,default,cooperate-defect,lines,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0,iterated_pd/sweeps/runs/instruction_framing-canonical__payoff_scale-lambda-1__vignette_frame-abstract__model-qwen3.5-4b__persona_stance-competitive/seed_8001/run/action_events.jsonl.gz,iterated_pd/sweeps/runs/instruction_framing-canonical__payoff_scale-lambda-1__vignette_frame-abstract__model-qwen3.5-4b__persona_stance-competitive/seed_8001/run/prompts_and_responses.jsonl.gz
instruction_framing-canonical__payoff_scale-lambda-1__vignette_frame-abstract__model-qwen3.5-4b__persona_stance-competitive,grid,qwen3.5-4b,8002,success,canonical,lambda-1,abstract,competitive,plain,default,cooperate-defect,lines,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0,iterated_pd/sweeps/runs/instruction_framing-canonical__payoff_scale-lambda-1__vignette_frame-abstract__model-qwen3.5-4b__persona_stance-competitive/seed_8002/run/action_events.jsonl.gz,iterated_pd/sweeps/runs/instruction_framing-canonical__payoff_scale-lambda-1__vignette_frame-abstract__model-qwen3.5-4b__persona_stance-competitive/seed_8002/run/prompts_and_responses.jsonl.gz
instruction_framing-canonical__payoff_scale-lambda-1__vignette_frame-abstract__model-qwen3.5-4b__persona_stance-competitive,grid,qwen3.5-4b,8003,success,canonical,lambda-1,abstract,competitive,plain,default,cooperate-defect,lines,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0,iterated_pd/sweeps/runs/instruction_framing-canonical__payoff_scale-lambda-1__vignette_frame-abstract__model-qwen3.5-4b__persona_stance-competitive/seed_8003/run/action_events.jsonl.gz,iterated_pd/sweeps/runs/instruction_framing-canonical__payoff_scale-lambda-1__vignette_frame-abstract__model-qwen3.5-4b__persona_stance-competitive/seed_8003/run/prompts_and_responses.jsonl.gz
instruction_framing-canonical__payoff_scale-lambda-1__vignette_frame-abstract__model-qwen3.5-4b__persona_stance-competitive,grid,qwen3.5-4b,8004,success,canonical,lambda-1,abstract,competitive,plain,default,cooperate-defect,lines,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0,iterated_pd/sweeps/runs/instruction_framing-canonical__payoff_scale-lambda-1__vignette_frame-abstract__model-qwen3.5-4b__persona_stance-competitive/seed_8004/run/action_events.jsonl.gz,iterated_pd/sweeps/runs/instruction_framing-canonical__payoff_scale-lambda-1__vignette_frame-abstract__model-qwen3.5-4b__persona_stance-competitive/seed_8004/run/prompts_and_responses.jsonl.gz
instruction_framing-canonical__payoff_scale-lambda-1__vignette_frame-abstract__model-qwen3.5-4b__persona_stance-competitive,grid,qwen3.5-4b,8005,success,canonical,lambda-1,abstract,competitive,plain,default,cooperate-defect,lines,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0,iterated_pd/sweeps/runs/instruction_framing-canonical__payoff_scale-lambda-1__vignette_frame-abstract__model-qwen3.5-4b__persona_stance-competitive/seed_8005/run/action_events.jsonl.gz,iterated_pd/sweeps/runs/instruction_framing-canonical__payoff_scale-lambda-1__vignette_frame-abstract__model-qwen3.5-4b__persona_stance-competitive/seed_8005/run/prompts_and_responses.jsonl.gz
instruction_framing-canonical__payoff_scale-lambda-1__vignette_frame-abstract__model-qwen3.5-4b__persona_stance-reciprocal,grid,qwen3.5-4b,8001,success,canonical,lambda-1,abstract,reciprocal,plain,default,cooperate-defect,lines,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0,iterated_pd/sweeps/runs/instruction_framing-canonical__payoff_scale-lambda-1__vignette_frame-abstract__model-qwen3.5-4b__persona_stance-reciprocal/seed_8001/run/action_events.jsonl.gz,iterated_pd/sweeps/runs/instruction_framing-canonical__payoff_scale-lambda-1__vignette_frame-abstract__model-qwen3.5-4b__persona_stance-reciprocal/seed_8001/run/prompts_and_responses.jsonl.gz
instruction_framing-canonical__payoff_scale-lambda-1__vignette_frame-abstract__model-qwen3.5-4b__persona_stance-reciprocal,grid,qwen3.5-4b,8002,success,canonical,lambda-1,abstract,reciprocal,plain,default,cooperate-defect,lines,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0,iterated_pd/sweeps/runs/instruction_framing-canonical__payoff_scale-lambda-1__vignette_frame-abstract__model-qwen3.5-4b__persona_stance-reciprocal/seed_8002/run/action_events.jsonl.gz,iterated_pd/sweeps/runs/instruction_framing-canonical__payoff_scale-lambda-1__vignette_frame-abstract__model-qwen3.5-4b__persona_stance-reciprocal/seed_8002/run/prompts_and_responses.jsonl.gz
instruction_framing-canonical__payoff_scale-lambda-1__vignette_frame-abstract__model-qwen3.5-4b__persona_stance-reciprocal,grid,qwen3.5-4b,8003,success,canonical,lambda-1,abstract,reciprocal,plain,default,cooperate-defect,lines,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0,iterated_pd/sweeps/runs/instruction_framing-canonical__payoff_scale-lambda-1__vignette_frame-abstract__model-qwen3.5-4b__persona_stance-reciprocal/seed_8003/run/action_events.jsonl.gz,iterated_pd/sweeps/runs/instruction_framing-canonical__payoff_scale-lambda-1__vignette_frame-abstract__model-qwen3.5-4b__persona_stance-reciprocal/seed_8003/run/prompts_and_responses.jsonl.gz
instruction_framing-canonical__payoff_scale-lambda-1__vignette_frame-abstract__model-qwen3.5-4b__persona_stance-reciprocal,grid,qwen3.5-4b,8004,success,canonical,lambda-1,abstract,reciprocal,plain,default,cooperate-defect,lines,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0,iterated_pd/sweeps/runs/instruction_framing-canonical__payoff_scale-lambda-1__vignette_frame-abstract__model-qwen3.5-4b__persona_stance-reciprocal/seed_8004/run/action_events.jsonl.gz,iterated_pd/sweeps/runs/instruction_framing-canonical__payoff_scale-lambda-1__vignette_frame-abstract__model-qwen3.5-4b__persona_stance-reciprocal/seed_8004/run/prompts_and_responses.jsonl.gz
instruction_framing-canonical__payoff_scale-lambda-1__vignette_frame-abstract__model-qwen3.5-4b__persona_stance-reciprocal,grid,qwen3.5-4b,8005,success,canonical,lambda-1,abstract,reciprocal,plain,default,cooperate-defect,lines,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0,iterated_pd/sweeps/runs/instruction_framing-canonical__payoff_scale-lambda-1__vignette_frame-abstract__model-qwen3.5-4b__persona_stance-reciprocal/seed_8005/run/action_events.jsonl.gz,iterated_pd/sweeps/runs/instruction_framing-canonical__payoff_scale-lambda-1__vignette_frame-abstract__model-qwen3.5-4b__persona_stance-reciprocal/seed_8005/run/prompts_and_responses.jsonl.gz
instruction_framing-canonical__payoff_scale-lambda-1__vignette_frame-abstract__model-gemma-4-31b__persona_stance-neutral,grid,gemma-4-31b,8001,success,canonical,lambda-1,abstract,neutral,plain,default,cooperate-defect,lines,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0,iterated_pd/sweeps/runs/instruction_framing-canonical__payoff_scale-lambda-1__vignette_frame-abstract__model-gemma-4-31b__persona_stance-neutral/seed_8001/run/action_events.jsonl.gz,iterated_pd/sweeps/runs/instruction_framing-canonical__payoff_scale-lambda-1__vignette_frame-abstract__model-gemma-4-31b__persona_stance-neutral/seed_8001/run/prompts_and_responses.jsonl.gz
instruction_framing-canonical__payoff_scale-lambda-1__vignette_frame-abstract__model-gemma-4-31b__persona_stance-neutral,grid,gemma-4-31b,8002,success,canonical,lambda-1,abstract,neutral,plain,default,cooperate-defect,lines,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0,iterated_pd/sweeps/runs/instruction_framing-canonical__payoff_scale-lambda-1__vignette_frame-abstract__model-gemma-4-31b__persona_stance-neutral/seed_8002/run/action_events.jsonl.gz,iterated_pd/sweeps/runs/instruction_framing-canonical__payoff_scale-lambda-1__vignette_frame-abstract__model-gemma-4-31b__persona_stance-neutral/seed_8002/run/prompts_and_responses.jsonl.gz
instruction_framing-canonical__payoff_scale-lambda-1__vignette_frame-abstract__model-gemma-4-31b__persona_stance-neutral,grid,gemma-4-31b,8003,success,canonical,lambda-1,abstract,neutral,plain,default,cooperate-defect,lines,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0,iterated_pd/sweeps/runs/instruction_framing-canonical__payoff_scale-lambda-1__vignette_frame-abstract__model-gemma-4-31b__persona_stance-neutral/seed_8003/run/action_events.jsonl.gz,iterated_pd/sweeps/runs/instruction_framing-canonical__payoff_scale-lambda-1__vignette_frame-abstract__model-gemma-4-31b__persona_stance-neutral/seed_8003/run/prompts_and_responses.jsonl.gz
instruction_framing-canonical__payoff_scale-lambda-1__vignette_frame-abstract__model-gemma-4-31b__persona_stance-neutral,grid,gemma-4-31b,8004,success,canonical,lambda-1,abstract,neutral,plain,default,cooperate-defect,lines,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0,iterated_pd/sweeps/runs/instruction_framing-canonical__payoff_scale-lambda-1__vignette_frame-abstract__model-gemma-4-31b__persona_stance-neutral/seed_8004/run/action_events.jsonl.gz,iterated_pd/sweeps/runs/instruction_framing-canonical__payoff_scale-lambda-1__vignette_frame-abstract__model-gemma-4-31b__persona_stance-neutral/seed_8004/run/prompts_and_responses.jsonl.gz
instruction_framing-canonical__payoff_scale-lambda-1__vignette_frame-abstract__model-gemma-4-31b__persona_stance-neutral,grid,gemma-4-31b,8005,success,canonical,lambda-1,abstract,neutral,plain,default,cooperate-defect,lines,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0,iterated_pd/sweeps/runs/instruction_framing-canonical__payoff_scale-lambda-1__vignette_frame-abstract__model-gemma-4-31b__persona_stance-neutral/seed_8005/run/action_events.jsonl.gz,iterated_pd/sweeps/runs/instruction_framing-canonical__payoff_scale-lambda-1__vignette_frame-abstract__model-gemma-4-31b__persona_stance-neutral/seed_8005/run/prompts_and_responses.jsonl.gz
instruction_framing-canonical__payoff_scale-lambda-1__vignette_frame-abstract__model-gemma-4-31b__persona_stance-cooperative,grid,gemma-4-31b,8001,success,canonical,lambda-1,abstract,cooperative,plain,default,cooperate-defect,lines,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0,iterated_pd/sweeps/runs/instruction_framing-canonical__payoff_scale-lambda-1__vignette_frame-abstract__model-gemma-4-31b__persona_stance-cooperative/seed_8001/run/action_events.jsonl.gz,iterated_pd/sweeps/runs/instruction_framing-canonical__payoff_scale-lambda-1__vignette_frame-abstract__model-gemma-4-31b__persona_stance-cooperative/seed_8001/run/prompts_and_responses.jsonl.gz
instruction_framing-canonical__payoff_scale-lambda-1__vignette_frame-abstract__model-gemma-4-31b__persona_stance-cooperative,grid,gemma-4-31b,8002,success,canonical,lambda-1,abstract,cooperative,plain,default,cooperate-defect,lines,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0,iterated_pd/sweeps/runs/instruction_framing-canonical__payoff_scale-lambda-1__vignette_frame-abstract__model-gemma-4-31b__persona_stance-cooperative/seed_8002/run/action_events.jsonl.gz,iterated_pd/sweeps/runs/instruction_framing-canonical__payoff_scale-lambda-1__vignette_frame-abstract__model-gemma-4-31b__persona_stance-cooperative/seed_8002/run/prompts_and_responses.jsonl.gz
